,F_MASV,F_MAMH,F_NHHK,F_DIEM4,PREDICT_SCORE
387,22985.0,2310.0,20132,4.0,3.4
388,15213.0,3706.0,20132,3.0,2.7
389,25093.0,1338.0,20132,4.0,2.6
390,27838.0,4486.0,20132,4.0,3.5
391,25653.0,1261.0,20132,2.0,2.9
392,13119.0,1575.0,20131,3.0,2.2
393,9888.0,1412.0,20131,2.0,2.3
394,4465.0,164.0,20131,4.0,1.3
395,4677.0,4371.0,20131,3.0,2.8
396,10224.0,4222.0,20131,4.0,2.9
397,10385.0,292.0,20131,4.0,2.7
398,4185.0,2942.0,20131,4.0,3.3
399,4239.0,3075.0,20131,4.0,3.5
400,37301.0,1684.0,20131,4.0,2.9
401,20656.0,3473.0,20131,3.5,3.3
402,29647.0,3322.0,20131,3.0,3.5
403,96000.0,1686.0,20132,1.0,2.8
404,30826.0,3580.0,20151,3.5,2.7
405,25756.0,1336.0,20151,3.5,2.6
406,48340.0,2286.0,20151,3.5,3.4
407,43645.0,3737.0,20151,2.0,2.7
408,38299.0,1541.0,20151,0.0,2.6
409,38315.0,2953.0,20151,3.0,3.5
410,43102.0,696.0,20151,3.5,2.3
411,40109.0,2052.0,20151,3.5,3.5
412,53367.0,2674.0,20151,2.0,3.1
413,51238.0,1185.0,20151,1.5,3.0
414,48593.0,3651.0,20151,2.5,2.7
415,54478.0,2676.0,20151,3.0,3.4
416,4345.0,3073.0,20122,2.5,3.5
417,4329.0,3243.0,20122,4.0,3.5
418,19319.0,1600.0,20122,3.5,3.0
419,1698.0,1580.0,20122,2.0,2.2
420,4098.0,3039.0,20122,4.0,3.5
421,29260.0,4362.0,20122,3.5,2.8
422,29474.0,4735.0,20121,3.5,3.6
423,12098.0,3304.0,20121,4.0,3.5
424,10789.0,2672.0,20122,3.5,3.3
425,28999.0,4503.0,20122,4.0,3.5
426,18487.0,1523.0,20122,1.0,3.2
427,17832.0,1607.0,20122,3.0,3.0
428,18583.0,1576.0,20122,4.0,2.2
429,8971.0,1684.0,20122,4.0,2.9
430,9129.0,1684.0,20122,4.0,2.9
431,3122.0,309.0,20122,4.0,2.7
432,41778.0,1658.0,20163,4.0,2.9
433,46187.0,4154.0,20163,4.0,2.9
434,44230.0,3619.0,20163,2.0,2.7
435,46516.0,4116.0,20163,3.5,2.5
436,48049.0,2241.0,20163,4.0,3.4
437,54392.0,2675.0,20151,3.0,3.4
438,51745.0,3660.0,20151,2.0,2.1
439,49077.0,3649.0,20151,4.0,2.7
440,54056.0,2676.0,20151,3.5,3.4
441,51710.0,3661.0,20151,2.5,2.1
442,41861.0,1681.0,20151,1.0,2.9
443,39459.0,784.0,20151,2.5,2.4
444,8297.0,2951.0,20151,3.0,3.5
445,36951.0,340.0,20151,0.0,2.7
446,92766.0,1586.0,20151,3.0,3.2
447,43738.0,733.0,20151,2.0,2.3
448,31100.0,593.0,20151,3.0,2.0
449,59730.0,4363.0,20162,4.0,3.0
450,58756.0,4370.0,20162,2.5,3.0
451,35812.0,1023.0,20162,3.5,2.7
452,66412.0,2674.0,20163,2.5,3.1
453,66709.0,2675.0,20163,2.5,3.5
454,50908.0,1247.0,20163,3.5,3.0
455,52789.0,2273.0,20163,4.0,3.2
456,50732.0,1203.0,20163,3.5,3.0
457,9202.0,514.0,20151,3.5,2.1
458,8873.0,309.0,20151,2.0,2.7
459,28023.0,1697.0,20132,3.5,2.9
460,36039.0,3772.0,20151,1.5,2.7
461,39024.0,4331.0,20151,3.5,2.8
462,60215.0,173.0,20192,4.0,1.4
463,74356.0,1347.0,20192,4.0,2.8
464,55470.0,4546.0,20151,4.0,3.4
465,54143.0,2675.0,20151,3.0,3.4
466,53714.0,2676.0,20151,3.0,3.4
467,53725.0,2947.0,20151,2.5,3.6
468,55831.0,4552.0,20162,4.0,3.4
469,93281.0,1386.0,20162,4.0,3.0
470,61189.0,3644.0,20162,1.0,3.6
471,58224.0,3630.0,20162,3.5,2.1
472,64531.0,2674.0,20162,3.0,2.9
473,57356.0,3644.0,20162,1.5,1.4
474,25049.0,1280.0,20131,2.5,2.6
475,24970.0,1279.0,20131,2.5,2.6
476,24971.0,1204.0,20131,2.5,2.9
477,6183.0,3243.0,20131,3.0,3.5
478,24925.0,1323.0,20131,2.0,2.6
479,25036.0,1285.0,20131,3.5,2.6
480,14866.0,1986.0,20131,4.0,3.5
481,6324.0,2977.0,20131,2.0,3.5
482,10209.0,4160.0,20131,2.5,2.9
483,24731.0,1295.0,20131,2.0,2.6
484,29457.0,4765.0,20131,3.5,3.5
485,5448.0,91.0,20131,4.0,1.3
486,58242.0,1681.0,20163,2.5,1.9
487,65745.0,1685.0,20163,3.0,2.3
488,53869.0,3618.0,20163,4.0,2.1
489,53999.0,3472.0,20163,4.0,2.8
490,57914.0,4361.0,20163,4.0,3.0
491,61910.0,3618.0,20163,1.5,3.6
492,58658.0,3474.0,20163,4.0,2.9
493,48637.0,1686.0,20163,3.0,3.0
494,51153.0,4372.0,20163,1.0,2.8
495,10789.0,1686.0,20132,3.0,2.9
496,23479.0,3482.0,20132,2.5,3.3
497,39448.0,3633.0,20132,2.0,2.7
498,23799.0,1552.0,20132,2.0,2.6
