F_MASV,F_MAMH,F_NHHK,IDKH,TIN_CHI,DIEMTB
1091446,319,20122,7,3,4.0
1091466,305,20123,7,3,4.0
1091472,305,20123,7,3,4.0
1091494,5,20111,7,3,4.0
1091501,119,20111,7,3,4.0
1091532,121,20111,7,3,4.0
1091537,309,20122,7,3,4.0
1091550,302,20122,7,3,4.0
1091557,11,20122,7,3,4.0
1091565,304,20122,7,3,4.0
1091621,1,20122,7,3,4.0
1091631,302,20111,7,3,4.0
1091639,324,20121,7,3,4.0
1091644,103,20111,7,3,4.0
1091645,8,20111,7,3,4.0
1091655,319,20122,7,3,4.0
1091677,12,20123,12,3,4.0
1091688,104,20111,7,3,4.0
1091691,314,20122,7,3,4.0
1091693,4,20111,7,3,4.0
1091707,309,20122,7,3,4.0
1091709,101,20111,7,3,4.0
1091731,10,20111,7,3,4.0
1097081,351,20122,8,3,4.0
1097124,118,20122,1,3,4.0
1097127,4,20111,1,3,4.0
1097132,6,20111,1,3,4.0
1097146,362,20122,1,3,4.0
1097149,8,20111,12,3,4.0
1097165,362,20122,1,3,4.0
1097168,372,20122,1,3,4.0
1097194,34,20111,6,3,4.0
1097203,128,20111,12,3,4.0
1097220,4,20111,6,3,4.0
1097239,4,20111,6,3,4.0
1097255,457,20123,6,3,4.0
1097272,374,20111,6,3,4.0
1097302,105,20111,6,3,4.0
1097311,309,20122,6,3,4.0
1097313,121,20122,6,3,4.0
1097319,121,20111,6,3,4.0
1097330,34,20123,6,3,4.0
1097339,335,20122,6,3,4.0
1097344,12,20122,6,3,4.0
1097384,408,20111,6,3,4.0
1097389,419,20123,6,3,4.0
1097393,419,20123,6,3,4.0
1100018,85,20122,1,3,4.0
1100026,101,20111,1,3,4.0
1100028,803,20123,1,3,4.0
1100037,101,20111,1,3,4.0
1100048,9,20111,1,3,4.0
1100054,803,20123,1,3,4.0
1100055,312,20122,1,3,4.0
1100062,1,20111,1,3,4.0
1100065,321,20123,1,3,4.0
1100070,9,20111,1,3,4.0
1100081,113,20111,1,3,4.0
1100083,130,20122,1,3,4.0
1100114,101,20111,1,3,4.0
1100135,332,20121,1,3,4.0
1100140,130,20122,1,3,4.0
1100167,168,20111,12,3,4.0
1100170,160,20122,8,3,4.0
1100173,373,20111,8,3,4.0
1100200,78,20111,1,3,4.0
1100231,78,20111,1,3,4.0
1100234,78,20111,1,3,4.0
1100236,80,20122,1,3,4.0
1100249,139,20122,1,3,4.0
1100252,80,20121,1,3,4.0
1100257,347,20122,1,3,4.0
1100261,9,20123,1,3,4.0
1100315,330,20122,1,3,4.0
1100327,9,20111,1,3,4.0
1100328,80,20122,1,3,4.0
1100347,9,20111,1,3,4.0
1100355,42,20111,1,3,4.0
1100370,59,20122,1,3,4.0
1100373,9,20111,1,3,4.0
1100391,9,20111,1,3,4.0
1100397,48,20122,1,3,4.0
1100407,802,20123,1,3,4.0
1100414,9,20111,1,3,4.0
1100424,11,20121,1,3,4.0
1100428,41,20121,1,3,4.0
1100468,138,20122,6,3,4.0
1100473,149,20122,6,3,4.0
1100508,11,20122,6,3,4.0
1100517,147,20122,6,3,4.0
1100520,14,20123,6,3,4.0
1100538,14,20111,6,3,4.0
1100547,425,20121,6,3,4.0
1100557,80,20122,6,3,4.0
1100559,9,20111,6,3,4.0
1100574,9,20111,12,3,4.0
1100634,113,20121,6,3,4.0
1100644,10,20111,6,3,4.0
1100688,8,20121,6,3,4.0
1100695,112,20121,6,3,4.0
1100709,109,20122,6,3,4.0
1100722,118,20122,6,3,4.0
1100733,12,20111,6,3,4.0
1100737,335,20122,6,3,4.0
1100763,10,20111,6,3,4.0
1100795,12,20122,6,3,4.0
1100801,12,20111,6,3,4.0
1100818,11,20123,6,3,4.0
1100839,12,20111,6,3,4.0
1100854,15,20111,6,3,4.0
1100875,359,20121,11,3,4.0
1100881,392,20122,11,3,4.0
1100899,137,20122,11,3,4.0
1100922,9,20111,11,3,4.0
1100943,123,20122,11,3,4.0
1100953,137,20122,11,3,4.0
1100969,4,20122,6,3,4.0
1100980,6,20123,6,3,4.0
1100989,1,20111,6,3,4.0
1100993,1,20111,6,3,4.0
1101011,151,20123,6,3,4.0
1101012,149,20121,6,3,4.0
1101013,7,20111,6,3,4.0
1101014,16,20111,6,3,4.0
1101024,140,20122,6,3,4.0
1101043,12,20111,6,3,4.0
1101050,149,20121,6,3,4.0
1101065,136,20122,6,3,4.0
1101070,153,20122,6,3,4.0
1101076,1,20111,6,3,4.0
1101102,16,20111,6,3,4.0
1101135,16,20111,6,3,4.0
1101147,132,20111,6,3,4.0
1101178,132,20123,6,3,4.0
1101183,149,20121,6,3,4.0
1101223,11,20122,6,3,4.0
1101225,133,20111,6,3,4.0
1101226,10,20111,6,3,4.0
1101228,6,20122,6,3,4.0
1101235,133,20111,6,3,4.0
1101255,170,20122,6,3,4.0
1101303,133,20111,6,3,4.0
1101308,130,20122,6,3,4.0
1101320,138,20123,6,3,4.0
1101336,176,20122,6,3,4.0
1101346,10,20191,6,3,4.0
1101351,133,20111,6,3,4.0
1101366,128,20122,6,3,4.0
1101398,1,20111,6,3,4.0
1101410,9,20111,6,3,4.0
1101459,1,20111,6,3,4.0
1101484,164,20121,6,3,4.0
1101532,9,20111,6,3,4.0
1101553,1,20122,7,3,4.0
1101557,9,20122,7,3,4.0
1101563,4,20123,7,3,4.0
1101585,12,20122,7,3,4.0
1101621,120,20122,7,3,4.0
1101648,102,20111,7,3,4.0
1101660,102,20111,7,3,4.0
1101688,15,20122,7,3,4.0
1101689,4,20122,7,3,4.0
1101734,120,20122,7,3,4.0
1101735,3,20122,7,3,4.0
1101743,12,20121,7,3,4.0
1101779,102,20111,7,3,4.0
1101854,1,20111,7,3,4.0
1101865,11,20123,7,3,4.0
1101874,6,20123,7,3,4.0
1101897,11,20123,7,3,4.0
1101910,1,20111,7,3,4.0
1107266,110,20122,6,3,4.0
1107510,373,20111,12,3,4.0
1107522,348,20121,8,3,4.0
1107543,6,20123,12,3,4.0
1107544,373,20111,12,3,4.0
1107559,168,20111,12,3,4.0
1107575,136,20122,1,3,4.0
1107609,9,20111,1,3,4.0
1107624,9,20111,12,3,4.0
1107706,432,20122,6,3,4.0
1107720,425,20122,6,3,4.0
1107721,425,20122,6,3,4.0
1107739,9,20111,6,3,4.0
1107745,9,20111,6,3,4.0
1107767,9,20111,6,3,4.0
1107770,9,20111,6,3,4.0
1107791,6,20122,6,3,4.0
1107798,11,20121,6,3,4.0
1107823,12,20122,6,3,4.0
1107824,11,20123,6,3,4.0
1107835,10,20123,6,3,4.0
1107840,6,20122,6,3,4.0
1107897,123,20122,7,3,4.0
1107919,337,20122,7,3,4.0
1107940,6,20122,7,3,4.0
1108003,6,20121,7,3,4.0
1108021,195,20111,12,3,4.0
1110002,9,20122,1,3,4.0
1110044,10,20123,1,3,4.0
1110063,5,20122,1,3,4.0
1110130,78,20122,1,3,4.0
1110144,3,20122,1,3,4.0
1110216,10,20123,1,3,4.0
1110311,41,20122,1,3,4.0
1110319,3,20122,1,3,4.0
1110341,66,20122,1,3,4.0
1110364,9,20122,6,3,4.0
1110393,10,20122,6,3,4.0
1110436,10,20123,6,3,4.0
1110450,15,20122,6,3,4.0
1110534,12,20121,6,3,4.0
1110644,10,20123,6,3,4.0
1110645,105,20122,6,3,4.0
1110727,9,20123,6,3,4.0
1110728,15,20122,6,3,4.0
1110729,374,20122,6,3,4.0
1110736,10,20123,6,3,4.0
1110787,10,20123,6,3,4.0
1110845,15,20121,11,3,4.0
1110893,153,20122,6,3,4.0
1110894,9,20122,6,3,4.0
1110914,153,20122,6,3,4.0
1110924,153,20122,6,3,4.0
1110934,153,20122,6,3,4.0
1110949,14,20122,6,3,4.0
1110962,11,20122,6,3,4.0
1110981,2,20122,6,3,4.0
1110986,9,20123,6,3,4.0
1110996,28,20122,6,3,4.0
1111011,2,20122,6,3,4.0
1111017,1,20121,6,3,4.0
1111037,10,20123,6,3,4.0
1111066,2,20122,6,3,4.0
1111281,9,20122,7,3,4.0
1111337,9,20122,7,3,4.0
1111371,10,20123,7,3,4.0
1111465,9,20122,7,3,4.0
1111468,2,20122,7,3,4.0
1117559,92,20122,3,3,4.0
1117568,80,20122,3,3,4.0
1117727,11,20122,6,3,4.0
1117914,10,20122,12,3,4.0
1118577,6,20123,9,3,4.0
1119023,801,20121,10,3,4.0
2071738,212,20111,3,3,4.0
2071752,229,20111,3,3,4.0
2071755,224,20111,3,3,4.0
2071764,208,20111,3,3,4.0
2071780,214,20111,3,3,4.0
2071790,224,20111,3,3,4.0
2071792,214,20111,3,3,4.0
2071811,218,20111,3,3,4.0
2071826,226,20111,3,3,4.0
2071836,158,20111,3,3,4.0
2071849,221,20111,3,3,4.0
2071868,367,20111,15,3,4.0
2071875,345,20111,15,3,4.0
2071881,350,20111,15,3,4.0
2071892,103,20111,12,3,4.0
2071905,368,20111,15,3,4.0
2071906,372,20111,15,3,4.0
2071961,380,20111,15,3,4.0
2071967,367,20111,15,3,4.0
2072006,406,20111,1,3,4.0
2072010,300,20111,1,3,4.0
2072026,393,20111,1,3,4.0
2072050,322,20111,8,3,4.0
2072093,322,20111,8,3,4.0
2072097,320,20111,6,3,4.0
2072100,319,20111,8,3,4.0
2072109,319,20111,8,3,4.0
2072119,322,20111,8,3,4.0
2072137,444,20123,12,3,4.0
2072165,139,20121,6,3,4.0
2072169,234,20111,6,3,4.0
2072175,254,20111,6,3,4.0
2072191,234,20111,6,3,4.0
2072197,234,20111,7,3,4.0
2072223,235,20111,6,3,4.0
2076438,226,20111,3,3,4.0
2076439,229,20111,3,3,4.0
2076453,163,20111,1,3,4.0
2077013,318,20111,8,3,4.0
2077027,301,20111,8,3,4.0
2081725,204,20111,3,3,4.0
2081743,210,20111,3,3,4.0
2081750,149,20111,3,3,4.0
2081752,228,20111,3,3,4.0
2081757,150,20111,3,3,4.0
2081793,156,20111,3,3,4.0
2081796,205,20111,3,3,4.0
2081817,153,20111,3,3,4.0
2081819,148,20111,3,3,4.0
2081825,148,20111,12,3,4.0
2081835,147,20111,3,3,4.0
2081862,128,20111,15,3,4.0
2081866,127,20111,15,3,4.0
2081874,131,20111,15,3,4.0
2081884,376,20122,15,3,4.0
2081890,109,20111,15,3,4.0
2081901,345,20111,15,3,4.0
2081917,102,20111,12,3,4.0
2081923,376,20122,12,3,4.0
2081933,109,20111,15,3,4.0
2081937,128,20111,15,3,4.0
2081963,160,20111,1,3,4.0
2081990,110,20111,1,3,4.0
2082004,407,20122,1,3,4.0
2082008,407,20122,1,3,4.0
2082043,13,20111,1,3,4.0
2082057,112,20111,8,3,4.0
2082113,112,20111,8,3,4.0
2082143,302,20111,8,3,4.0
2082149,313,20122,8,3,4.0
2082166,254,20121,6,3,4.0
2082173,262,20122,6,3,4.0
2082183,126,20111,6,3,4.0
2082222,154,20111,6,3,4.0
2091736,149,20121,3,3,4.0
2091739,147,20111,3,3,4.0
2091741,226,20122,3,3,4.0
2091742,211,20122,3,3,4.0
2091754,153,20122,3,3,4.0
2091777,5,20111,3,3,4.0
2091781,124,20111,3,3,4.0
2091782,123,20111,3,3,4.0
2091792,12,20111,3,3,4.0
2091793,1,20111,3,3,4.0
2091795,6,20111,3,3,4.0
2091799,201,20111,3,3,4.0
2091802,214,20123,3,3,4.0
2091806,201,20111,3,3,36.667
2091824,12,20111,3,3,4.0
2091825,220,20122,3,3,4.0
2091834,155,20111,3,3,4.0
2091857,152,20111,15,3,4.0
2091874,13,20111,15,3,4.0
2091892,123,20111,12,3,4.0
2091918,129,20121,15,3,4.0
2091924,372,20123,15,3,4.0
2091927,125,20111,15,3,4.0
2091932,23,20111,15,3,4.0
2091937,103,20111,12,3,4.0
2091965,155,20111,1,3,4.0
2091967,17,20123,1,3,4.0
2091987,9,20111,1,3,4.0
2091994,11,20111,1,3,4.0
2092050,342,20123,8,3,4.0
2092073,326,20122,8,3,4.0
2092074,319,20123,8,3,4.0
2092171,16,20111,6,3,4.0
